artist	image_url
!llmind	https://a10.asurahosting.com/api/station/northern_dial/art/7f22ebb98a2b5be419855e0b-1770653296.jpg
$enor$uplex	https://a10.asurahosting.com/api/station/northern_dial/art/f2fcb00d2ebbe31522fd0f0d-1771091019.jpg
.E.L.	https://a10.asurahosting.com/api/station/northern_dial/art/d9d992139b782f595d2c6291-1770656259.jpg
2 Chainz	https://a10.asurahosting.com/api/station/northern_dial/art/64b5e1c75e9d0ebaee365aae-1770667839.jpg
2 Versatile	https://a10.asurahosting.com/api/station/northern_dial/art/339b08fc4d78358e0d8dd2d9-1770659450.jpg
21 Lil Harold	https://a10.asurahosting.com/api/station/northern_dial/art/6eee484142e8609cc82a2489-1770663791.jpg
21 Savage	https://a10.asurahosting.com/api/station/northern_dial/art/cc00cef66da326a875dc809e-1770668007.jpg
2nd Son	https://a10.asurahosting.com/api/station/northern_dial/art/63f0aec51e6e2781ce7b459d-1770644378.jpg
2Rude	https://a10.asurahosting.com/api/station/northern_dial/art/2e55581ce436421d49b33c06-1770659567.jpg
3MFrench	https://a10.asurahosting.com/api/station/northern_dial/art/6246e5e0fc64f0666fcdd2bb-1770664138.jpg
401 WST	https://a10.asurahosting.com/api/station/northern_dial/art/028ed3fa01b04a288dc08336-1770666323.jpg
4Korners	https://a10.asurahosting.com/api/station/northern_dial/art/028ed3fa01b04a288dc08336-1770666323.jpg
5cottay	https://a10.asurahosting.com/api/station/northern_dial/art/9a02d183983657e4028338ff-1771123148.jpg
646yf4t	https://a10.asurahosting.com/api/station/northern_dial/art/554afc2be4fd588637b665f3
6ix	https://a10.asurahosting.com/api/station/northern_dial/art/dccf0cb743f0dd272294efe5-1770664469.jpg
6ix9ine	https://a10.asurahosting.com/api/station/northern_dial/art/158b5275bfb2ee9cd115faa1-1770664531.jpg
6ixbuzz	https://a10.asurahosting.com/api/station/northern_dial/art/6246e5e0fc64f0666fcdd2bb-1770664138.jpg
6LACK	https://a10.asurahosting.com/api/station/northern_dial/art/11037044a182acb079cdc31c-1770652742.jpg
88GLAM	https://a10.asurahosting.com/api/station/northern_dial/art/7acdd22c0053cdf3a00a1864-1770665593.jpg
8OND	https://a10.asurahosting.com/api/station/northern_dial/art/5fe882d7765353267d64e731-1770666230.jpg
9th Wonder	https://a10.asurahosting.com/api/station/northern_dial/art/00b57efd50405ba2b69c6049-1770655193.jpg
A Boogie wit da Hoodie	https://a10.asurahosting.com/api/station/northern_dial/art/043e12c83c1bcf70fafde1da-1770651958.jpg
A l l i e	https://a10.asurahosting.com/api/station/northern_dial/art/63f0aec51e6e2781ce7b459d-1770644378.jpg
A Sun	https://a10.asurahosting.com/api/station/northern_dial/art/81e68e6c99b6b59dda7c0602-1770654218.jpg
A Tribe Called Red	https://a10.asurahosting.com/api/station/northern_dial/art/f1a22012ea0b0620d1dd65f9-1770646263.jpg
A$AP Rocky	https://a10.asurahosting.com/api/station/northern_dial/art/64b5e1c75e9d0ebaee365aae-1770667839.jpg
A-Game	https://a10.asurahosting.com/api/station/northern_dial/art/14b901330dc7fbc861f48bf9-1770653074.jpg
A-Trak	https://a10.asurahosting.com/api/station/northern_dial/art/b05377a80119f604579860f5-1770646466.jpg
A.CHAL	https://a10.asurahosting.com/api/station/northern_dial/art/c9c2031c06020302ae6eb7d5-1770652772.jpg
A.G.	https://a10.asurahosting.com/api/station/northern_dial/art/a98e82acd26984c6c39f0473-1770655202.jpg
ABBI WOODS	https://a10.asurahosting.com/api/station/northern_dial/art/3a65c3ae4ec18466020f76ee-1770645640.jpg
Achel	https://a10.asurahosting.com/api/station/northern_dial/art/e0956dfadea2fc2cd5d9afdd-1770645463.jpg
Ackerly	https://a10.asurahosting.com/api/station/northern_dial/art/1d30e231ae5471b9e08a602c-1770648719.jpg
Adam Bomb	https://a10.asurahosting.com/api/station/northern_dial/art/9275c8abc2aa4b39e6babda6-1770652010.jpg
Adam Klobi	https://a10.asurahosting.com/api/station/northern_dial/art/d21e497db4628678e1a7db06-1770645473.jpg
Adelaide	https://a10.asurahosting.com/api/station/northern_dial/art/e699b295f720d9fed24aadf5-1775451287.jpg
Admiral Naughtz	https://a10.asurahosting.com/api/station/northern_dial/art/62ab1a241ed2ea0505c824f2-1772631384.jpg
Adrian Sina	https://a10.asurahosting.com/api/station/northern_dial/art/f1f96c970ffeaaec1c80b225-1770647762.jpg
Adriatique	https://a10.asurahosting.com/api/station/northern_dial/art/e4573dd7dfed0bff7fbba372-1770649706.jpg
Adriiana	https://a10.asurahosting.com/api/station/northern_dial/art/28e2edcecf148437a812fa84-1770645985.jpg
Aesop Rock	https://a10.asurahosting.com/api/station/northern_dial/art/5dbe0aac5135fafcf7820ef3-1770655470.jpg
AFROJACK	https://a10.asurahosting.com/api/station/northern_dial/art/16f39b770fd23463644e1e09-1770656920.jpg
Afrolistic	https://a10.asurahosting.com/api/station/northern_dial/art/faecfcf665ec3ae7596fb851-1770661146.jpg
Aftertheparty	https://a10.asurahosting.com/api/station/northern_dial/art/ee46bd604491607f50ad730c-1770652683.jpg
Afu-Ra	https://a10.asurahosting.com/api/station/northern_dial/art/81e68e6c99b6b59dda7c0602-1770654218.jpg
Aida	https://a10.asurahosting.com/api/station/northern_dial/art/747ad70914e7da3a5e4ff92f-1770663625.jpg
Aimee Mann	https://a10.asurahosting.com/api/station/northern_dial/art/a9f76afcd75ed054eaa21269-1770645372.jpg
Aiona Santana	https://a10.asurahosting.com/api/station/northern_dial/art/c33da4f6f36006d2c8c0d441-1770647191.jpg
Aiza	https://a10.asurahosting.com/api/station/northern_dial/art/360c7b9f9c9851c4e7053395-1770666477.jpg
Akon	https://a10.asurahosting.com/api/station/northern_dial/art/243d840e0d2f34145df6daff-1770647541.jpg
Al.Divino	https://a10.asurahosting.com/api/station/northern_dial/art/b5354a5ffe4eb055c633a807-1770667074.jpg
Alanis Morissette	https://a10.asurahosting.com/api/station/northern_dial/art/b88e6336ab3892c3ab4df8ec-1770645951.jpg
Alcynoos	https://a10.asurahosting.com/api/station/northern_dial/art/96cee84dbaef1acd93224003-1770662826.jpg
Alejandro Fernández	https://a10.asurahosting.com/api/station/northern_dial/art/112e72afdecf42dbdb23ee77-1770649693.jpg
Alessia Cara	https://a10.asurahosting.com/api/station/northern_dial/art/b589b69a7c67878d4a827a48-1770646192.jpg
Alex K	https://a10.asurahosting.com/api/station/northern_dial/art/f722e37fcfb2e66713c530fe-1770648328.jpg
Alex Metcalf	https://a10.asurahosting.com/api/station/northern_dial/art/7229a946c0c943e88418a70c-1770648403.jpg
Alexander Gallant	https://a10.asurahosting.com/api/station/northern_dial/art/f856c142820793916bd01562-1770667534.jpg
Ali Gatie	https://a10.asurahosting.com/api/station/northern_dial/art/71487323987b33991435038e-1770664224.jpg
Ali Hennessey	https://a10.asurahosting.com/api/station/northern_dial/art/7815a971ca3770e9a30e8779-1770855821.jpg
Alice Ivy	https://a10.asurahosting.com/api/station/northern_dial/art/a711f69989fd6a1cc6efe6b3-1770666846.jpg
Alice Smith	https://a10.asurahosting.com/api/station/northern_dial/art/e93f90a657bf81507718a83c-1770648734.jpg
Alicia Creti	https://a10.asurahosting.com/api/station/northern_dial/art/f3a69bb91094d0679939d6eb-1770645582.jpg
Alicia Moffet	https://a10.asurahosting.com/api/station/northern_dial/art/9adaa7075ac02a378dfa4745-1770646265.jpg
Aliocha Schneider	https://a10.asurahosting.com/api/station/northern_dial/art/e69306319f0ca609309f5158-1770644465.jpg
Allan Rayman	https://a10.asurahosting.com/api/station/northern_dial/art/4a6b9c475571a49f8a626f48-1770646215.jpg
Allie	https://a10.asurahosting.com/api/station/northern_dial/art/cf27932550d0a6de42b9bd0d-1770644275.jpg
Alsham	https://a10.asurahosting.com/api/station/northern_dial/art/d6abbfa8075b31db66b4c493-1770659980.jpg
Aluna	https://a10.asurahosting.com/api/station/northern_dial/art/4a08292038c5d28a71bac008-1770645198.jpg
AlunaGeorge	https://a10.asurahosting.com/api/station/northern_dial/art/cbb41b6421d5d4666783aae0-1770645193.jpg
Alvvays	https://a10.asurahosting.com/api/station/northern_dial/art/5b6df863cb5d5ef959a7ea3c-1770644782.jpg
Alysha Brilla	https://a10.asurahosting.com/api/station/northern_dial/art/a03276ede135f80c7048f8ea-1770648738.jpg
Alyssa Reid	https://a10.asurahosting.com/api/station/northern_dial/art/8e6fcfe21d0338a74849deef-1770646430.jpg
amaarae	https://a10.asurahosting.com/api/station/northern_dial/art/c4f5ac8cf51b5b819ce89b71-1770645175.jpg
Amanda Marshall	https://a10.asurahosting.com/api/station/northern_dial/art/e447bbcfb87459fb39a6728d-1770644000.jpg
Amar Chaka Collective	https://a10.asurahosting.com/api/station/northern_dial/art/79a418411aea27b4c08bcdf4-1770648829.jpg
Amarafleur	https://a10.asurahosting.com/api/station/northern_dial/art/04910af70a37546e89a59476-1770667418.jpg
Ambeez	https://a10.asurahosting.com/api/station/northern_dial/art/ba533f7b5a62acef08f26f63-1770666539.jpg
Amber Mark	https://a10.asurahosting.com/api/station/northern_dial/art/99c32ab92549fa1b75b73652-1770649109.jpg
Ambition	https://a10.asurahosting.com/api/station/northern_dial/art/98a3654fbeec22e1ed480b22-1770667500.jpg
Amine	https://a10.asurahosting.com/api/station/northern_dial/art/86594ee70d19519a7acd08f7-1770645131.jpg
Aminé	https://a10.asurahosting.com/api/station/northern_dial/art/a39dc404e260ac4e788c4c67-1770645135.jpg
Amir Obe	https://a10.asurahosting.com/api/station/northern_dial/art/fceb77c91fca55da965aee65-1770652293.jpg
Amore	https://a10.asurahosting.com/api/station/northern_dial/art/8bf955ed94f1f0ffec844fa8-1770645387.jpg
Anachnid	https://a10.asurahosting.com/api/station/northern_dial/art/1b9802a10f4d56cb1e56ca17-1770645730.jpg
Anami Vice	https://a10.asurahosting.com/api/station/northern_dial/art/109c0e973ff5ab8347c17309-1770646464.jpg
Anaïs Cardot	https://a10.asurahosting.com/api/station/northern_dial/art/e2d3d7bbf1a97cd533c298a9-1770645627.jpg
anders	https://a10.asurahosting.com/api/station/northern_dial/art/0e491d7146edca30a8f4ce78-1770652744.jpg
Anderson .Paak	https://a10.asurahosting.com/api/station/northern_dial/art/4c51bc9adbe980da732f5c6e-1770646221.jpg
Andrea Bocelli	https://a10.asurahosting.com/api/station/northern_dial/art/2f257cb45b61bad09913f792-1770649561.jpg
Andreena Mill	https://a10.asurahosting.com/api/station/northern_dial/art/2b6857f0dd7b978a6e93573e-1770657470.jpg
Andrew Ranxx	https://a10.asurahosting.com/api/station/northern_dial/art/80ab99aa654a5f583e44fd1d-1770655902.jpg
Andrew Wyatt	https://a10.asurahosting.com/api/station/northern_dial/art/b05377a80119f604579860f5-1770646466.jpg
Andy Shauf	https://a10.asurahosting.com/api/station/northern_dial/art/462e91076524f2355e247fc9-1770646235.jpg
Angel Duss	https://a10.asurahosting.com/api/station/northern_dial/art/a447b9630bb88d1a117bfdc1-1770654476.jpg
Angela Apigo	https://a10.asurahosting.com/api/station/northern_dial/art/a6c240704f2cbe79cdac5fd4-1771081720.jpg
Angelica Appelman	https://a10.asurahosting.com/api/station/northern_dial/art/ee076c29d49c370cf77a80f7-1770645675.jpg
