artist	location	social_links	request_url	image_url
!llmind	Unknown		https://a10.asurahosting.com/api/station/491/request/7f22ebb98a2b5be419855e0b	https://a10.asurahosting.com/api/station/northern_dial/art/7f22ebb98a2b5be419855e0b-1770653296.jpg
$enor$uplex	Unknown		https://a10.asurahosting.com/api/station/491/request/f2fcb00d2ebbe31522fd0f0d	https://a10.asurahosting.com/api/station/northern_dial/art/f2fcb00d2ebbe31522fd0f0d-1771091019.jpg
.E.L.	Unknown		https://a10.asurahosting.com/api/station/491/request/d9d992139b782f595d2c6291	https://a10.asurahosting.com/api/station/northern_dial/art/d9d992139b782f595d2c6291-1770656259.jpg
2 Chainz	Unknown		https://a10.asurahosting.com/api/station/491/request/64b5e1c75e9d0ebaee365aae	https://a10.asurahosting.com/api/station/northern_dial/art/64b5e1c75e9d0ebaee365aae-1770667839.jpg
2 Versatile	Unknown		https://a10.asurahosting.com/api/station/491/request/339b08fc4d78358e0d8dd2d9	https://a10.asurahosting.com/api/station/northern_dial/art/339b08fc4d78358e0d8dd2d9-1770659450.jpg
21 Lil Harold	Unknown		https://a10.asurahosting.com/api/station/491/request/6eee484142e8609cc82a2489	https://a10.asurahosting.com/api/station/northern_dial/art/6eee484142e8609cc82a2489-1770663791.jpg
21 Savage	Unknown		https://a10.asurahosting.com/api/station/491/request/cc00cef66da326a875dc809e	https://a10.asurahosting.com/api/station/northern_dial/art/cc00cef66da326a875dc809e-1770668007.jpg
2nd Son	Unknown		https://a10.asurahosting.com/api/station/491/request/63f0aec51e6e2781ce7b459d	https://a10.asurahosting.com/api/station/northern_dial/art/63f0aec51e6e2781ce7b459d-1770644378.jpg
2Rude	Unknown		https://a10.asurahosting.com/api/station/491/request/2e55581ce436421d49b33c06	https://a10.asurahosting.com/api/station/northern_dial/art/2e55581ce436421d49b33c06-1770659567.jpg
3MFrench	Unknown		https://a10.asurahosting.com/api/station/491/request/6246e5e0fc64f0666fcdd2bb	https://a10.asurahosting.com/api/station/northern_dial/art/6246e5e0fc64f0666fcdd2bb-1770664138.jpg
401 WST	Unknown		https://a10.asurahosting.com/api/station/491/request/028ed3fa01b04a288dc08336	https://a10.asurahosting.com/api/station/northern_dial/art/028ed3fa01b04a288dc08336-1770666323.jpg
4Korners	Unknown		https://a10.asurahosting.com/api/station/491/request/028ed3fa01b04a288dc08336	https://a10.asurahosting.com/api/station/northern_dial/art/028ed3fa01b04a288dc08336-1770666323.jpg
5cottay	Unknown		https://a10.asurahosting.com/api/station/491/request/9a02d183983657e4028338ff	https://a10.asurahosting.com/api/station/northern_dial/art/9a02d183983657e4028338ff-1771123148.jpg
646yf4t	Unknown		https://a10.asurahosting.com/api/station/491/request/554afc2be4fd588637b665f3	https://a10.asurahosting.com/api/station/northern_dial/art/554afc2be4fd588637b665f3
6ix	Unknown		https://a10.asurahosting.com/api/station/491/request/dccf0cb743f0dd272294efe5	https://a10.asurahosting.com/api/station/northern_dial/art/dccf0cb743f0dd272294efe5-1770664469.jpg
6ix9ine	Unknown		https://a10.asurahosting.com/api/station/491/request/158b5275bfb2ee9cd115faa1	https://a10.asurahosting.com/api/station/northern_dial/art/158b5275bfb2ee9cd115faa1-1770664531.jpg
6ixbuzz	Unknown		https://a10.asurahosting.com/api/station/491/request/6246e5e0fc64f0666fcdd2bb	https://a10.asurahosting.com/api/station/northern_dial/art/6246e5e0fc64f0666fcdd2bb-1770664138.jpg
